
 Episode : 30 | Reward -> 572.3706972797263 | Max reward : 683.6106845304271 | Time : 2.4796082973480225'
 Episode : 32 | Reward -> 579.2162917330943 | Max reward : 630.7628949961135 | Time : 4.405625104904175'
 Episode : 34 | Reward -> 559.0481783092557 | Max reward : 573.4405743737696 | Time : 2.528398275375366'
 Episode : 36 | Reward -> 525.8449779536519 | Max reward : 583.9697534627886 | Time : 2.4853951930999756'
 Episode : 38 | Reward -> 710.4787585163629 | Max reward : 1070.7723000569736 | Time : 4.411332607269287'
 Episode : 40 | Reward -> 585.5195161639466 | Max reward : 635.6538282359415 | Time : 2.4770076274871826'
 Episode : 42 | Reward -> 609.6116373088412 | Max reward : 628.0099902367361 | Time : 2.4755167961120605'
 Episode : 44 | Reward -> 642.4602805011922 | Max reward : 664.7970611453964 | Time : 4.405390024185181'
 Episode : 46 | Reward -> 675.9505646692596 | Max reward : 1106.3658400848115 | Time : 2.473825216293335'
 Episode : 48 | Reward -> 911.3447221918799 | Max reward : 1254.7534908934729 | Time : 2.436837911605835'


 Episode : 2 | Reward -> 444.1289070792501 | Max reward : 463.2997208144152 | Time : 2.4770469665527344'
 Episode : 4 | Reward -> 583.4877494594364 | Max reward : 666.0451561864053 | Time : 2.4795193672180176'
 
Reset (-1000,1000) speed_inc=30 bins=20
 Episode : 2 | Reward -> 1588.8834658667186 | Max reward : 1918.2894306033695 | Time : 3.1612305641174316'
 Episode : 4 | Reward -> 1684.811130134567 | Max reward : 1710.9928540972612 | Time : 4.21690559387207'
 Episode : 6 | Reward -> 1766.6028727108614 | Max reward : 1775.510529425772 | Time : 4.270762920379639'
 Episode : 8 | Reward -> 1770.2373946620291 | Max reward : 1822.701325732183 | Time : 2.4890456199645996'
 Episode : 10 | Reward -> 1457.6307364244635 | Max reward : 1589.8142785166897 | Time : 4.3521435260772705'
 Episode : 12 | Reward -> 1181.5513705001335 | Max reward : 1901.5104453955746 | Time : 3.222917318344116'
 Episode : 14 | Reward -> 2268.9323679916615 | Max reward : 2590.398608215732 | Time : 4.239124536514282'
 Episode : 16 | Reward -> 2145.584284144569 | Max reward : 2758.0016381312944 | Time : 4.213709354400635'
 Episode : 18 | Reward -> 1878.1971621925775 | Max reward : 2403.782401598937 | Time : 4.387897968292236'
 Episode : 20 | Reward -> 1997.5035522406154 | Max reward : 2220.2391286913853 | Time : 4.161430835723877'
 Episode : 22 | Reward -> 1781.081606844549 | Max reward : 2283.029470404696 | Time : 4.551854848861694'
 Episode : 24 | Reward -> 2468.411922117957 | Max reward : 2777.9347748999726 | Time : 4.377198219299316'
 Episode : 26 | Reward -> 2052.5645451018463 | Max reward : 2527.4722426102876 | Time : 4.290482044219971'
 Episode : 28 | Reward -> 2077.0957155369483 | Max reward : 2373.2299518676446 | Time : 4.3016297817230225'
 Episode : 30 | Reward -> 2422.372421083406 | Max reward : 2433.4479931492815 | Time : 4.22366189956665'
 Episode : 32 | Reward -> 2287.9724367570516 | Max reward : 2554.9295703288794 | Time : 4.283242702484131'
 Episode : 34 | Reward -> 1875.5488292593122 | Max reward : 2033.9808752112162 | Time : 4.1739349365234375'
 Episode : 36 | Reward -> 1892.7244851226424 | Max reward : 1928.486825442475 | Time : 4.297511339187622'
 Episode : 38 | Reward -> 2025.1247403316634 | Max reward : 2096.176884877591 | Time : 4.102931261062622'
 Episode : 40 | Reward -> 2428.5337182185667 | Max reward : 2459.7373060786176 | Time : 4.092358827590942'
 Episode : 42 | Reward -> 2424.663581937095 | Max reward : 2490.8920428430315 | Time : 4.0165886878967285'
 Episode : 44 | Reward -> 2577.39897098702 | Max reward : 2784.7508399039984 | Time : 4.212424993515015'
 Episode : 46 | Reward -> 2696.2177270174534 | Max reward : 2702.7416217199534 | Time : 3.8523757457733154'
 Episode : 48 | Reward -> 2963.142495279297 | Max reward : 2972.557353123694 | Time : 4.00710391998291'
 Episode : 50 | Reward -> 2961.944487376107 | Max reward : 2962.3419268807065 | Time : 3.9344756603240967'
 Episode : 52 | Reward -> 2960.4585306075965 | Max reward : 2966.126631063465 | Time : 4.034559011459351'
 Episode : 54 | Reward -> 2962.840619031889 | Max reward : 2966.2635327134244 | Time : 3.9278130531311035'
 Episode : 56 | Reward -> 2959.183119854999 | Max reward : 2960.3414234798947 | Time : 3.923513650894165'
 Episode : 58 | Reward -> 2955.176720246121 | Max reward : 2956.261365040818 | Time : 3.896550178527832'
 Episode : 60 | Reward -> 2857.000963259664 | Max reward : 2934.8571038070527 | Time : 3.9272642135620117'
 Episode : 62 | Reward -> 2966.2143756760843 | Max reward : 2973.0746664247004 | Time : 3.856706142425537'
 Episode : 64 | Reward -> 2882.315424480531 | Max reward : 2958.049400274703 | Time : 3.9331018924713135'
 Episode : 66 | Reward -> 2818.463727756712 | Max reward : 2933.483036449991 | Time : 3.9940102100372314'
 Episode : 68 | Reward -> 2937.583908980738 | Max reward : 2961.9797821395364 | Time : 3.9249966144561768'
 Episode : 70 | Reward -> 2814.7578783806302 | Max reward : 2837.185561587183 | Time : 3.980005979537964'
 Episode : 72 | Reward -> 2960.87189927294 | Max reward : 2969.4051689022263 | Time : 4.000427722930908'
 Episode : 74 | Reward -> 2725.0232838127013 | Max reward : 2799.246674072798 | Time : 3.9447708129882812'
 Episode : 76 | Reward -> 2816.1607574705204 | Max reward : 2970.29327651242 | Time : 3.9172732830047607'
 Episode : 80 | Reward -> 2961.6318948829103 | Max reward : 2963.363802805393 | Time : 4.126075267791748'
 Episode : 82 | Reward -> 2964.578236497732 | Max reward : 2970.646374641442 | Time : 3.8523871898651123'
 Episode : 84 | Reward -> 2966.2520314133417 | Max reward : 2971.3808770582013 | Time : 4.05508017539978'
 Episode : 86 | Reward -> 2968.626238877342 | Max reward : 2972.2188419894937 | Time : 3.856743574142456'
 Episode : 88 | Reward -> 2965.0609422324515 | Max reward : 2965.312513320832 | Time : 4.015536546707153'
 Episode : 90 | Reward -> 2963.0854548792713 | Max reward : 2970.2820897016213 | Time : 3.8008382320404053'
